step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.106835626439521,0.032413245455221916
55,75,-0.10721369640771711,0.2343824106287875
55,90,-0.13405269772845285,0.20815295307984572
56,50,-0.10587787467801901,0.03466055031883763
56,75,-0.10694806400018159,0.23092781015734287
56,90,-0.13351407794019002,0.2071075266025637
57,50,-0.10492012291651703,0.036907855182453334
57,75,-0.10668243159264607,0.22747320968589824
57,90,-0.13297545815192718,0.2060621001252817
58,50,-0.10396237115501504,0.039155160046069046
58,75,-0.10641679918511056,0.2240186092144536
58,90,-0.13243683836366438,0.20501667364799972
59,50,-0.10300461939351306,0.04140246490968476
59,75,-0.10615116677757505,0.22056400874300897
59,90,-0.13189821857540154,0.2039712471707177
60,50,-0.10204686763201107,0.04364976977330047
60,75,-0.10588553437003953,0.21710940827156433
60,90,-0.1313595987871387,0.20292582069343573
61,50,-0.10108911587050907,0.04589707463691618
61,75,-0.10561990196250401,0.21365480780011972
61,90,-0.13082097899887588,0.20188039421615372
62,50,-0.1001313641090071,0.048144379500531895
62,75,-0.1053542695549685,0.2102002073286751
62,90,-0.13028235921061304,0.20083496773887172
63,50,-0.0991736123475051,0.05039168436414761
63,75,-0.105088637147433,0.20674560685723045
63,90,-0.1297437394223502,0.19978954126158974
64,50,-0.09821586058600312,0.05263898922776331
64,75,-0.10482300473989747,0.20329100638578582
64,90,-0.12920511963408737,0.19874411478430773
65,50,-0.09725810882450113,0.054886294091379025
65,75,-0.10455737233236195,0.19983640591434118
65,90,-0.12866649984582454,0.19769868830702572
66,50,-0.09630035706299914,0.05713359895499474
66,75,-0.10429173992482645,0.19638180544289655
66,90,-0.1281278800575617,0.19665326182974374
67,50,-0.09534260530149716,0.05938090381861044
67,75,-0.10402610751729094,0.1929272049714519
67,90,-0.1275892602692989,0.19560783535246173
68,50,-0.09438485353999516,0.061628208682226154
68,75,-0.10376047510975542,0.18947260450000727
68,90,-0.12705064048103606,0.19456240887517973
69,50,-0.09342710177849319,0.06387551354584187
69,75,-0.1034948427022199,0.18601800402856264
69,90,-0.12651202069277323,0.19351698239789775
70,50,-0.09246935001699119,0.06612281840945758
70,75,-0.10322921029468439,0.182563403557118
70,90,-0.1259734009045104,0.19247155592061574
71,50,-0.0915115982554892,0.06837012327307329
71,75,-0.10296357788714888,0.17910880308567337
71,90,-0.12543478111624756,0.19142612944333373
72,50,-0.09055384649398722,0.070617428136689
72,75,-0.10269794547961336,0.17565420261422873
72,90,-0.12489616132798473,0.19038070296605175
73,50,-0.08959609473248523,0.07286473300030472
73,75,-0.10243231307207784,0.1721996021427841
73,90,-0.12435754153972191,0.18933527648876974
74,50,-0.08863834297098325,0.07511203786392043
74,75,-0.10216668066454233,0.16874500167133946
74,90,-0.12381892175145907,0.18828985001148774
75,50,-0.08768059120948125,0.07735934272753614
