step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.07283842211593586,0.10192211223313173
55,75,-0.25239494325640144,0.1027384270173716
55,90,-0.2755230428207725,0.24667511369085093
56,50,-0.07412043840378577,0.1036998399123709
56,75,-0.2500326287886111,0.10594484257039817
56,90,-0.27276565189141094,0.24736537366056696
57,50,-0.07540245469163566,0.10547756759161007
57,75,-0.24767031432082076,0.10915125812342474
57,90,-0.27000826096204933,0.248055633630283
58,50,-0.07668447097948555,0.10725529527084926
58,75,-0.24530799985303042,0.11235767367645133
58,90,-0.26725087003268777,0.24874589359999902
59,50,-0.07796648726733546,0.10903302295008843
59,75,-0.24294568538524008,0.11556408922947792
59,90,-0.2644934791033262,0.24943615356971505
60,50,-0.07924850355518537,0.1108107506293276
60,75,-0.24058337091744972,0.11877050478250449
60,90,-0.2617360881739646,0.2501264135394311
61,50,-0.08053051984303526,0.11258847830856678
61,75,-0.23822105644965938,0.12197692033553106
61,90,-0.25897869724460304,0.2508166735091471
62,50,-0.08181253613088516,0.11436620598780595
62,75,-0.235858741981869,0.12518333588855765
62,90,-0.2562213063152414,0.25150693347886316
63,50,-0.08309455241873506,0.11614393366704513
63,75,-0.23349642751407867,0.12838975144158424
63,90,-0.25346391538587987,0.25219719344857916
64,50,-0.08437656870658496,0.1179216613462843
64,75,-0.2311341130462883,0.1315961669946108
64,90,-0.2507065244565183,0.2528874534182952
65,50,-0.08565858499443486,0.11969938902552348
65,75,-0.22877179857849797,0.13480258254763738
65,90,-0.2479491335271567,0.2535777133880112
66,50,-0.08694060128228476,0.12147711670476265
66,75,-0.22640948411070763,0.13800899810066397
66,90,-0.2451917425977951,0.2542679733577273
67,50,-0.08822261757013466,0.12325484438400182
67,75,-0.22404716964291727,0.14121541365369056
67,90,-0.24243435166843352,0.2549582333274433
68,50,-0.08950463385798456,0.125032572063241
68,75,-0.22168485517512693,0.14442182920671714
68,90,-0.23967696073907196,0.25564849329715933
69,50,-0.09078665014583447,0.12681029974248018
69,75,-0.21932254070733656,0.1476282447597437
69,90,-0.23691956980971038,0.25633875326687533
70,50,-0.09206866643368436,0.12858802742171935
70,75,-0.21696022623954622,0.1508346603127703
70,90,-0.2341621788803488,0.2570290132365914
71,50,-0.09335068272153425,0.13036575510095852
71,75,-0.21459791177175588,0.15404107586579688
71,90,-0.2314047879509872,0.25771927320630744
72,50,-0.09463269900938416,0.1321434827801977
72,75,-0.21223559730396552,0.15724749141882344
72,90,-0.22864739702162562,0.25840953317602344
73,50,-0.09591471529723405,0.13392121045943686
73,75,-0.20987328283617518,0.16045390697185002
73,90,-0.22589000609226406,0.2590997931457395
74,50,-0.09719673158508396,0.13569893813867603
74,75,-0.2075109683683848,0.1636603225248766
74,90,-0.22313261516290248,0.2597900531154555
75,50,-0.09847874787293386,0.13747666581791523
75,75,-0.20514865390059447,0.1668667380779032
75,90,-0.2203752242335409,0.26048031308517156
76,50,-0.09976076416078376,0.1392543934971544
76,75,-0.20278633943280414,0.17007315363092979
76,90,-0.2176178333041793,0.26117057305488756
77,50,-0.10104278044863366,0.14103212117639358
77,75,-0.20042402496501377,0.17327956918395634
77,90,-0.21486044237481772,0.2618608330246036
78,50,-0.10232479673648356,0.14280984885563275
78,75,-0.19806171049722343,0.17648598473698293
78,90,-0.21210305144545613,0.2625510929943196
79,50,-0.10360681302433346,0.14458757653487192
79,75,-0.19569939602943306,0.17969240029000952
79,90,-0.20934566051609454,0.26324135296403567
80,50,-0.10488882931218335,0.1463653042141111
80,75,-0.19333708156164273,0.18289881584303608
80,90,-0.206588269586733,0.26393161293375167
81,50,-0.10617084560003326,0.14814303189335026
81,75,-0.19097476709385236,0.18610523139606266
81,90,-0.2038308786573714,0.2646218729034677
82,50,-0.10745286188788317,0.14992075957258943
