step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.038616599598358385,0.07340124278590583
55,75,-0.08645883459144796,0.11284850342859282
55,90,-0.14202927491830034,0.22039992498284255
56,50,-0.038315525874812406,0.07288805429791068
56,75,-0.08538932521112218,0.11237878474617137
56,90,-0.13999586977604167,0.21918508796942843
57,50,-0.03801445215126643,0.07237486580991552
57,75,-0.0843198158307964,0.11190906606374992
57,90,-0.13796246463378303,0.21797025095601427
58,50,-0.037713378427720455,0.07186167732192036
58,75,-0.08325030645047063,0.11143934738132848
58,90,-0.13592905949152437,0.21675541394260012
59,50,-0.037412304704174476,0.07134848883392521
59,75,-0.08218079707014485,0.11096962869890704
59,90,-0.1338956543492657,0.215540576929186
60,50,-0.037111230980628504,0.07083530034593005
60,75,-0.08111128768981907,0.1104999100164856
60,90,-0.13186224920700707,0.21432573991577183
61,50,-0.036810157257082525,0.0703221118579349
61,75,-0.0800417783094933,0.11003019133406415
61,90,-0.1298288440647484,0.21311090290235768
62,50,-0.036509083533536546,0.06980892336993974
62,75,-0.07897226892916752,0.10956047265164272
62,90,-0.12779543892248973,0.21189606588894355
63,50,-0.036208009809990574,0.06929573488194458
63,75,-0.07790275954884175,0.10909075396922127
63,90,-0.1257620337802311,0.2106812288755294
64,50,-0.035906936086444595,0.06878254639394943
64,75,-0.07683325016851597,0.10862103528679982
64,90,-0.12372862863797243,0.20946639186211524
65,50,-0.035605862362898616,0.06826935790595427
65,75,-0.07576374078819019,0.10815131660437838
65,90,-0.12169522349571377,0.20825155484870111
66,50,-0.035304788639352644,0.06775616941795912
66,75,-0.07469423140786442,0.10768159792195695
66,90,-0.11966181835345512,0.20703671783528696
67,50,-0.035003714915806665,0.06724298092996396
67,75,-0.07362472202753864,0.1072118792395355
67,90,-0.11762841321119646,0.2058218808218728
68,50,-0.034702641192260686,0.0667297924419688
68,75,-0.07255521264721286,0.10674216055711405
68,90,-0.11559500806893781,0.20460704380845865
69,50,-0.034401567468714714,0.06621660395397365
69,75,-0.0714857032668871,0.10627244187469262
69,90,-0.11356160292667915,0.20339220679504452
70,50,-0.034100493745168735,0.06570341546597849
70,75,-0.07041619388656131,0.10580272319227117
70,90,-0.1115281977844205,0.20217736978163037
71,50,-0.033799420021622756,0.06519022697798334
71,75,-0.06934668450623553,0.10533300450984973
71,90,-0.10949479264216185,0.2009625327682162
72,50,-0.033498346298076784,0.06467703848998818
72,75,-0.06827717512590976,0.1048632858274283
72,90,-0.10746138749990318,0.19974769575480208
73,50,-0.033197272574530805,0.06416385000199303
73,75,-0.06720766574558398,0.10439356714500685
73,90,-0.10542798235764453,0.19853285874138793
74,50,-0.032896198850984826,0.06365066151399787
74,75,-0.0661381563652582,0.1039238484625854
74,90,-0.10339457721538588,0.19731802172797377
75,50,-0.032595125127438854,0.06313747302600271
75,75,-0.06506864698493244,0.10345412978016397
75,90,-0.10136117207312723,0.19610318471455962
76,50,-0.032294051403892875,0.06262428453800756
76,75,-0.06399913760460665,0.10298441109774252
76,90,-0.09932776693086856,0.1948883477011455
77,50,-0.031992977680346896,0.0621110960500124
