step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.13379049073678995,0.17760049423145435
55,75,-0.20132966800634083,0.256141947103728
55,90,-0.2037862059907833,0.32826691559623455
56,50,-0.1328848573771675,0.17760579258127074
56,75,-0.19981701131635618,0.25612727048248596
56,90,-0.2029932768406123,0.3274021159495342
57,50,-0.13197922401754505,0.17761109093108712
57,75,-0.19830435462637153,0.25611259386124385
57,90,-0.20220034769044132,0.3265373163028339
58,50,-0.1310735906579226,0.1776163892809035
58,75,-0.19679169793638684,0.2560979172400018
58,90,-0.2014074185402703,0.32567251665613356
59,50,-0.13016795729830016,0.17762168763071987
59,75,-0.19527904124640222,0.25608324061875976
59,90,-0.20061448939009932,0.32480771700943323
60,50,-0.1292623239386777,0.17762698598053625
60,75,-0.19376638455641754,0.25606856399751765
60,90,-0.19982156023992834,0.32394291736273284
61,50,-0.12835669057905524,0.17763228433035264
61,75,-0.19225372786643288,0.2560538873762756
61,90,-0.19902863108975735,0.3230781177160325
62,50,-0.1274510572194328,0.177637582680169
62,75,-0.19074107117644823,0.25603921075503355
62,90,-0.19823570193958637,0.3222133180693322
63,50,-0.12654542385981035,0.17764288102998538
63,75,-0.18922841448646358,0.2560245341337915
63,90,-0.19744277278941536,0.32134851842263185
64,50,-0.12563979050018792,0.17764817937980176
64,75,-0.18771575779647892,0.25600985751254945
64,90,-0.19664984363924437,0.3204837187759315
65,50,-0.12473415714056546,0.17765347772961815
65,75,-0.18620310110649427,0.25599518089130735
65,90,-0.19585691448907339,0.3196189191292312
66,50,-0.12382852378094301,0.1776587760794345
66,75,-0.1846904444165096,0.2559805042700653
66,90,-0.1950639853389024,0.31875411948253085
67,50,-0.12292289042132057,0.1776640744292509
67,75,-0.18317778772652496,0.25596582764882325
67,90,-0.19427105618873142,0.31788931983583046
68,50,-0.12201725706169812,0.17766937277906727
68,75,-0.1816651310365403,0.25595115102758115
68,90,-0.1934781270385604,0.31702452018913013
69,50,-0.12111162370207568,0.17767467112888363
69,75,-0.18015247434655565,0.2559364744063391
69,90,-0.19268519788838942,0.3161597205424298
70,50,-0.12020599034245323,0.17767996947870002
