step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,-0.03759637023571038,0.07979078613224277
55,75,-0.12430141068484127,0.2753117446172277
55,90,-0.12776063196268309,0.28113992159850304
56,50,-0.03814689214145358,0.08179046022265209
56,75,-0.12372910778227952,0.27260582064644906
56,90,-0.12710484958624463,0.27877064699695675
57,50,-0.038697414047196774,0.08379013431306141
57,75,-0.12315680487971777,0.26989989667567044
57,90,-0.12644906720980617,0.27640137239541046
58,50,-0.039247935952939975,0.08578980840347072
58,75,-0.12258450197715602,0.2671939727048918
58,90,-0.1257932848333677,0.27403209779386417
59,50,-0.039798457858683176,0.08778948249388005
59,75,-0.12201219907459426,0.26448804873411313
59,90,-0.12513750245692926,0.2716628231923179
60,50,-0.04034897976442637,0.08978915658428938
60,75,-0.12143989617203252,0.2617821247633345
60,90,-0.12448172008049078,0.2692935485907716
61,50,-0.04089950167016957,0.09178883067469869
61,75,-0.12086759326947076,0.2590762007925559
61,90,-0.12382593770405233,0.2669242739892253
62,50,-0.041450023575912764,0.093788504765108
62,75,-0.120295290366909,0.25637027682177727
62,90,-0.12317015532761386,0.264554999387679
63,50,-0.042000545481655965,0.09578817885551733
63,75,-0.11972298746434726,0.25366435285099864
63,90,-0.1225143729511754,0.2621857247861327
64,50,-0.04255106738739916,0.09778785294592665
64,75,-0.1191506845617855,0.25095842888021996
64,90,-0.12185859057473694,0.25981645018458643
65,50,-0.04310158929314236,0.09978752703633596
65,75,-0.11857838165922376,0.24825250490944134
65,90,-0.12120280819829848,0.25744717558304014
66,50,-0.04365211119888556,0.10178720112674529
66,75,-0.118006078756662,0.24554658093866272
66,90,-0.12054702582186001,0.25507790098149385
67,50,-0.044202633104628755,0.1037868752171546
67,75,-0.11743377585410025,0.24284065696788407
67,90,-0.11989124344542156,0.25270862637994757
68,50,-0.044753155010371956,0.10578654930756393
68,75,-0.1168614729515385,0.24013473299710544
68,90,-0.1192354610689831,0.2503393517784013
69,50,-0.04530367691611515,0.10778622339797324
69,75,-0.11628917004897675,0.2374288090263268
69,90,-0.11857967869254463,0.24797007717685499
70,50,-0.04585419882185835,0.10978589748838256
70,75,-0.11571686714641499,0.23472288505554817
70,90,-0.11792389631610617,0.2456008025753087
71,50,-0.04640472072760155,0.11178557157879189
71,75,-0.11514456424385323,0.23201696108476955
71,90,-0.11726811393966771,0.2432315279737624
72,50,-0.046955242633344746,0.1137852456692012
72,75,-0.11457226134129149,0.2293110371139909
72,90,-0.11661233156322924,0.24086225337221612
73,50,-0.04750576453908795,0.11578491975961053
73,75,-0.11399995843872973,0.22660511314321227
73,90,-0.11595654918679078,0.23849297877066983
74,50,-0.04805628644483114,0.11778459385001984
74,75,-0.11342765553616799,0.22389918917243362
74,90,-0.11530076681035233,0.23612370416912354
75,50,-0.04860680835057434,0.11978426794042916
75,75,-0.11285535263360623,0.221193265201655
75,90,-0.11464498443391385,0.23375442956757725
76,50,-0.04915733025631754,0.12178394203083848
76,75,-0.11228304973104448,0.21848734123087635
76,90,-0.1139892020574754,0.23138515496603096
77,50,-0.04970785216206074,0.1237836161212478
77,75,-0.11171074682848273,0.21578141726009772
77,90,-0.11333341968103694,0.22901588036448467
78,50,-0.05025837406780394,0.12578329021165713
78,75,-0.11113844392592098,0.21307549328931907
78,90,-0.11267763730459848,0.22664660576293838
79,50,-0.05080889597354713,0.12778296430206643
79,75,-0.11056614102335922,0.21036956931854045
79,90,-0.11202185492816001,0.2242773311613921
80,50,-0.05135941787929033,0.12978263839247575
80,75,-0.10999383812079747,0.20766364534776183
80,90,-0.11136607255172155,0.2219080565598458
81,50,-0.051909939785033526,0.13178231248288508
81,75,-0.10942153521823572,0.20495772137698318
81,90,-0.1107102901752831,0.2195387819582995
