step,confidence_level,rel_error_lower_bound,rel_error_upper_bound
55,50,0.0345667037626215,0.07348425398727144
55,75,-0.14354929855504217,0.20036527867922477
55,90,-0.13328396634139567,0.202901903745338
56,50,0.03068548770777425,0.07465589275345823
56,75,-0.14311130508151446,0.1984275215790554
56,90,-0.13411887634531905,0.20145399623955934
57,50,0.026804271652927005,0.07582753151964503
57,75,-0.14267331160798674,0.19648976447888605
57,90,-0.13495378634924243,0.2000060887337807
58,50,0.022923055598079754,0.07699917028583181
58,75,-0.14223531813445903,0.19455200737871672
58,90,-0.13578869635316582,0.19855818122800206
59,50,0.01904183954323251,0.0781708090520186
59,75,-0.14179732466093134,0.1926142502785474
59,90,-0.1366236063570892,0.1971102737222234
60,50,0.015160623488385264,0.0793424478182054
60,75,-0.14135933118740363,0.19067649317837804
60,90,-0.13745851636101258,0.19566236621644473
61,50,0.011279407433538013,0.08051408658439219
61,75,-0.1409213377138759,0.18873873607820868
61,90,-0.138293426364936,0.1942144587106661
62,50,0.007398191378690768,0.08168572535057898
62,75,-0.14048334424034822,0.18680097897803935
62,90,-0.13912833636885938,0.19276655120488745
63,50,0.00351697532384352,0.08285736411676577
63,75,-0.1400453507668205,0.18486322187787002
63,90,-0.13996324637278276,0.19131864369910878
64,50,-0.0003642407310037281,0.08402900288295256
64,75,-0.1396073572932928,0.18292546477770066
64,90,-0.14079815637670615,0.18987073619333014
65,50,-0.004245456785850973,0.08520064164913935
65,75,-0.13916936381976508,0.1809877076775313
65,90,-0.14163306638062953,0.18842282868755147
66,50,-0.00812667284069822,0.08637228041532614
66,75,-0.1387313703462374,0.17904995057736198
66,90,-0.1424679763845529,0.18697492118177284
67,50,-0.012007888895545469,0.08754391918151293
67,75,-0.13829337687270968,0.17711219347719265
67,90,-0.14330288638847632,0.18552701367599417
68,50,-0.015889104950392717,0.08871555794769972
68,75,-0.13785538339918196,0.1751744363770233
68,90,-0.1441377963923997,0.18407910617021553
69,50,-0.01977032100523996,0.08988719671388651
69,75,-0.13741738992565428,0.17323667927685393
69,90,-0.1449727063963231,0.18263119866443686
70,50,-0.02365153706008721,0.0910588354800733
70,75,-0.13697939645212656,0.1712989221766846
70,90,-0.14580761640024648,0.18118329115865822
71,50,-0.027532753114934458,0.0922304742462601
71,75,-0.13654140297859885,0.16936116507651527
71,90,-0.14664252640416986,0.17973538365287958
72,50,-0.0314139691697817,0.09340211301244689
72,75,-0.13610340950507116,0.16742340797634592
72,90,-0.14747743640809324,0.17828747614710092
73,50,-0.03529518522462895,0.09457375177863368
73,75,-0.13566541603154345,0.16548565087617656
73,90,-0.14831234641201663,0.17683956864132228
74,50,-0.0391764012794762,0.09574539054482047
74,75,-0.13522742255801573,0.16354789377600723
74,90,-0.14914725641594004,0.1753916611355436
75,50,-0.04305761733432345,0.09691702931100726
75,75,-0.13478942908448804,0.1616101366758379
75,90,-0.14998216641986342,0.17394375362976497
76,50,-0.046938833389170695,0.09808866807719405
76,75,-0.13435143561096033,0.15967237957566854
76,90,-0.1508170764237868,0.1724958461239863
77,50,-0.05082004944401794,0.09926030684338084
77,75,-0.13391344213743261,0.1577346224754992
77,90,-0.1516519864277102,0.17104793861820766
78,50,-0.054701265498865184,0.10043194560956763
78,75,-0.1334754486639049,0.15579686537532986
78,90,-0.15248689643163357,0.169600031112429
79,50,-0.05858248155371243,0.10160358437575442
79,75,-0.1330374551903772,0.15385910827516053
79,90,-0.15332180643555696,0.16815212360665036
80,50,-0.06246369760855969,0.10277522314194121
80,75,-0.1325994617168495,0.15192135117499117
80,90,-0.15415671643948037,0.16670421610087172
81,50,-0.06634491366340693,0.103946861908128
81,75,-0.13216146824332178,0.1499835940748218
81,90,-0.15499162644340375,0.16525630859509305
82,50,-0.07022612971825418,0.1051185006743148
82,75,-0.1317234747697941,0.14804583697465248
82,90,-0.15582653644732714,0.16380840108931438
83,50,-0.07410734577310142,0.10629013944050159
83,75,-0.13128548129626638,0.14610807987448315
83,90,-0.15666144645125052,0.16236049358353574
84,50,-0.07798856182794867,0.10746177820668838
84,75,-0.13084748782273867,0.1441703227743138
84,90,-0.1574963564551739,0.1609125860777571
85,50,-0.08186977788279592,0.10863341697287517
85,75,-0.13040949434921095,0.14223256567414444
85,90,-0.1583312664590973,0.15946467857197844
86,50,-0.08575099393764317,0.10980505573906196
86,75,-0.12997150087568327,0.1402948085739751
86,90,-0.15916617646302067,0.1580167710661998
87,50,-0.08963220999249041,0.11097669450524875
87,75,-0.12953350740215555,0.13835705147380578
87,90,-0.16000108646694405,0.15656886356042113
88,50,-0.09351342604733766,0.11214833327143554
88,75,-0.12909551392862784,0.13641929437363642
88,90,-0.16083599647086746,0.1551209560546425
89,50,-0.09739464210218492,0.11331997203762234
89,75,-0.12865752045510015,0.13448153727346707
